n pokedex,nome,geração,tipo 1,tipo 2,vida,ataque,defesa,velocidade,sp ataque,sp defesa,total atr,md atr,altura m,peso kg,% macho,xp evolução,taxa de captura,classificação,lendário,habilidades,contra inseto,contra escuridão,contra dragão,contra elétrico,contra fada,contra lutador,contra fogo,contra voador,contra fantasma,contra planta,contra terra,contra gelo,contra normal,contra venenoso,contra psíquico,contra pedra,contra aço,contra água
1,Bulbasaur,1,planta,venenoso,45,49,49,45,65,65,318,53.0,0.7,6.9,88.1,1059860,45.0,Pokémon Semente,False,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
2,Ivysaur,1,planta,venenoso,60,62,63,60,80,80,405,67.5,1.0,13.0,88.1,1059860,45.0,Pokémon Semente,False,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
3,Venusaur,1,planta,venenoso,80,100,123,80,122,120,625,104.16666666666667,2.0,100.0,88.1,1059860,45.0,Pokémon Semente,False,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
4,Charmander,1,fogo,,39,52,43,65,60,50,309,51.5,0.6,8.5,88.1,1059860,45.0,Pokémon Lagarto,False,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
5,Charmeleon,1,fogo,,58,64,58,80,80,65,405,67.5,1.1,19.0,88.1,1059860,45.0,Pokémon de Chama,False,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
6,Charizard,1,fogo,voador,78,104,78,100,159,115,634,105.66666666666667,1.7,90.5,88.1,1059860,45.0,Pokémon de Chama,False,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
7,Squirtle,1,água,,44,48,65,43,50,64,314,52.333333333333336,0.5,9.0,88.1,1059860,45.0,Pokémon Tartaruguinha,False,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
8,Wartortle,1,água,,59,63,80,58,65,80,405,67.5,1.0,22.5,88.1,1059860,45.0,Pokémon Tartaruga,False,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
9,Blastoise,1,água,,79,103,120,78,135,115,630,105.0,1.6,85.5,88.1,1059860,45.0,Pokémon Marisco,False,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
10,Caterpie,1,inseto,,45,30,35,45,20,20,195,32.5,0.3,2.9,50.0,1000000,255.0,Pokémon Verme,False,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
